Type, POC, QP, Total PSNR, Y PSNR, U PSNR, V PSNR, Frame Bits, BitRate
I_SLICE, 0, 20, 45.453, 44.867, 46.618, 47.272, 1764112, 44102.800
P_SLICE, 1, 20, 44.362, 43.692, 45.764, 46.516, 698664, 17466.600
P_SLICE, 2, 20, 44.332, 43.639, 45.807, 46.579, 682032, 17050.800
P_SLICE, 3, 20, 44.282, 43.573, 45.793, 46.619, 687232, 17180.800
P_SLICE, 4, 20, 44.229, 43.512, 45.769, 46.591, 696768, 17419.200
P_SLICE, 5, 20, 44.186, 43.464, 45.722, 46.600, 698608, 17465.200
P_SLICE, 6, 20, 44.130, 43.399, 45.688, 46.586, 709592, 17739.800
P_SLICE, 7, 20, 44.083, 43.351, 45.640, 46.548, 706832, 17670.800
P_SLICE, 8, 20, 44.042, 43.309, 45.598, 46.520, 715856, 17896.400
P_SLICE, 9, 20, 44.005, 43.271, 45.560, 46.488, 725832, 18145.800
P_SLICE, 10, 20, 43.954, 43.218, 45.511, 46.451, 729936, 18248.400
P_SLICE, 11, 20, 43.918, 43.181, 45.468, 46.430, 748536, 18713.400
P_SLICE, 12, 20, 43.871, 43.138, 45.422, 46.349, 746224, 18655.600
P_SLICE, 13, 20, 43.830, 43.095, 45.382, 46.320, 757256, 18931.400
P_SLICE, 14, 20, 43.803, 43.069, 45.365, 46.275, 748296, 18707.400
P_SLICE, 15, 20, 43.787, 43.045, 45.374, 46.297, 749488, 18737.200
P_SLICE, 16, 20, 43.755, 43.014, 45.365, 46.235, 755840, 18896.000
P_SLICE, 17, 20, 43.727, 42.982, 45.314, 46.263, 756824, 18920.600
P_SLICE, 18, 20, 43.688, 42.944, 45.287, 46.200, 762824, 19070.600
P_SLICE, 19, 20, 43.676, 42.937, 45.242, 46.187, 765432, 19135.800
P_SLICE, 20, 20, 43.654, 42.911, 45.236, 46.185, 759664, 18991.600
P_SLICE, 21, 20, 43.635, 42.888, 45.232, 46.172, 764888, 19122.200
P_SLICE, 22, 20, 43.615, 42.869, 45.219, 46.141, 772896, 19322.400
P_SLICE, 23, 20, 43.604, 42.859, 45.201, 46.124, 769576, 19239.400
P_SLICE, 24, 20, 43.586, 42.851, 45.156, 46.060, 773392, 19334.800
P_SLICE, 25, 20, 43.572, 42.833, 45.141, 46.083, 779512, 19487.800
P_SLICE, 26, 20, 43.572, 42.836, 45.128, 46.070, 781384, 19534.600
P_SLICE, 27, 20, 43.533, 42.802, 45.088, 45.994, 792152, 19803.800
P_SLICE, 28, 20, 43.528, 42.801, 45.071, 45.972, 784400, 19610.000
P_SLICE, 29, 20, 43.519, 42.788, 45.062, 45.998, 784952, 19623.800
P_SLICE, 30, 20, 43.507, 42.783, 45.034, 45.946, 784568, 19614.200
P_SLICE, 31, 20, 43.493, 42.770, 45.017, 45.924, 794376, 19859.400
P_SLICE, 32, 20, 43.484, 42.761, 45.014, 45.915, 797720, 19943.000
P_SLICE, 33, 20, 43.481, 42.766, 44.970, 45.883, 796640, 19916.000
P_SLICE, 34, 20, 43.471, 42.752, 44.982, 45.883, 803792, 20094.800
P_SLICE, 35, 20, 43.467, 42.752, 44.973, 45.858, 789280, 19732.000
P_SLICE, 36, 20, 43.456, 42.746, 44.938, 45.829, 805784, 20144.600
P_SLICE, 37, 20, 43.424, 42.720, 44.888, 45.770, 831688, 20792.200
P_SLICE, 38, 20, 43.432, 42.730, 44.882, 45.781, 802960, 20074.000
P_SLICE, 39, 20, 43.435, 42.730, 44.896, 45.796, 805440, 20136.000
P_SLICE, 40, 20, 43.435, 42.731, 44.880, 45.804, 801648, 20041.200
P_SLICE, 41, 20, 43.421, 42.723, 44.845, 45.767, 810264, 20256.600
P_SLICE, 42, 20, 43.405, 42.710, 44.828, 45.728, 814104, 20352.600
P_SLICE, 43, 20, 43.407, 42.717, 44.826, 45.702, 813680, 20342.000
P_SLICE, 44, 20, 43.389, 42.702, 44.804, 45.664, 817960, 20449.000
P_SLICE, 45, 20, 43.387, 42.706, 44.773, 45.648, 821792, 20544.800
P_SLICE, 46, 20, 43.378, 42.702, 44.744, 45.624, 831712, 20792.800
P_SLICE, 47, 20, 43.381, 42.710, 44.714, 45.628, 822632, 20565.800
P_SLICE, 48, 20, 43.351, 42.676, 44.705, 45.608, 850096, 21252.400
P_SLICE, 49, 20, 43.355, 42.683, 44.704, 45.590, 833248, 20831.200
I_SLICE, 50, 20, 45.498, 45.036, 46.235, 47.000, 1949032, 48725.800
P_SLICE, 51, 20, 44.308, 43.778, 45.225, 46.035, 772344, 19308.600
P_SLICE, 52, 20, 44.254, 43.705, 45.202, 46.076, 771368, 19284.200
P_SLICE, 53, 20, 44.189, 43.627, 45.148, 46.089, 766848, 19171.200
P_SLICE, 54, 20, 44.124, 43.561, 45.074, 46.037, 781712, 19542.800
P_SLICE, 55, 20, 44.056, 43.482, 45.043, 46.007, 798280, 19957.000
P_SLICE, 56, 20, 43.995, 43.416, 44.990, 45.969, 801536, 20038.400
P_SLICE, 57, 20, 43.940, 43.359, 44.944, 45.922, 818744, 20468.600
P_SLICE, 58, 20, 43.882, 43.309, 44.862, 45.834, 824384, 20609.600
P_SLICE, 59, 20, 43.831, 43.255, 44.796, 45.825, 826456, 20661.400
P_SLICE, 60, 20, 43.789, 43.210, 44.780, 45.773, 833624, 20840.600
P_SLICE, 61, 20, 43.735, 43.152, 44.767, 45.694, 843872, 21096.800
P_SLICE, 62, 20, 43.692, 43.109, 44.711, 45.669, 853120, 21328.000
P_SLICE, 63, 20, 43.655, 43.080, 44.646, 45.609, 850176, 21254.400
P_SLICE, 64, 20, 43.612, 43.039, 44.610, 45.548, 879208, 21980.200
